name,studio_price,one_bed_price,two_bed_price,city,state
West Boulevard,,,,Cleveland,OH
Macgregor,,,,Houston,TX
Central West End,,,,Saint Louis,MO
Franklin Park,,,,Toledo,OH
Tudor City,,,,New York,NY
University Place,,,,Houston,TX
Canyon Crest,,,,Riverside,CA
Mantua,,,,Philadelphia,PA
Ardenwood,,,,Fremont,CA
Westwood,,,,Denver,CO
Upper Vailsburg,,,,Newark,NJ
Mariposa,,,,Glendale,CA
Desert Shores,,,,Las Vegas,NV
Cultural Corridor,,,,Las Vegas,NV
Park Manor,,,,Chicago,IL
Anaheim Resort,,,,Anaheim,CA
Mountain View,,,,San Diego,CA
Dutchtown,,,,Saint Louis,MO
O'Hare,,,,Chicago,IL
Arlington Heights,,,,Los Angeles,CA
Wedgwood,,,,Fort Worth,TX
West University,,,,Austin,TX
West Garfield Park,,,,Chicago,IL
Green Valley Ranch,,,,Henderson,NV
Central,,,,Fresno,CA
Barry Square,,,,Hartford,CT
Iah - Airport Area,,,,Houston,TX
West Side,,,,Newark,NJ
Centerville,,,,Fremont,CA
El Camino Real,,,,Irvine,CA
Morningside,,,,Detroit,MI
Sun Lakes,,,,Chandler,AZ
Squirrel Hill South,,,,Pittsburgh,PA
Lower Vailsburg,,,,Newark,NJ
Oleander Sunset,,,,Bakersfield,CA
Spuyten Duyvil,,,,New York,NY
Rita Ranch,,,,Tucson,AZ
West Side,,,,Saint Paul,MN
Gandy-Sun Bay South,,,,Tampa,FL
Northwest,,,,Corpus Christi,TX
Garfield Park,,,,Grand Rapids,MI
East Side,,,,Long Beach,CA
Southwest Detroit,,,,Detroit,MI
West Colorado Springs,,,,Colorado Springs,CO
Nestor,,,,San Diego,CA
Thomas Dale,,,,Saint Paul,MN
Galewood,,,,Chicago,IL
Alamitos Beach,,,,Long Beach,CA
Eastwick,,,,Philadelphia,PA
Traffic Circle,,,,Long Beach,CA
Chambersburg,,,,Trenton,NJ
Windsor Park,,,,Austin,TX
Logan Heights,,,,San Diego,CA
East Weymouth,,,,Weymouth,MA
Capitol Hill,,,,Denver,CO
Mid-City,,,,New Orleans,LA
Downtown,,,,Fremont,CA
East Oak Lane,,,,Philadelphia,PA
Flamingo Lummus,,,,Miami Beach,FL
New Tacoma,,,,Tacoma,WA
Delmar Parkway,,,,Aurora,CO
Pioneer Park,,,,Las Vegas,NV
Bluffview,,,,Dallas,TX
Benning,900,1200,1350,Washington,DC
Poplar Grove,,,,Salt Lake City,UT
Southside,,,,Columbus,OH
North Stamford,,,,Stamford,CT
North Park,,,,Buffalo,NY
Cambria Heights,,,,New York,NY
Lake Houston,,,,Houston,TX
Benning Heights,962,1200,1445,Washington,DC
Outer Parkside,,,,San Francisco,CA
Central Beaverton,,,,Beaverton,OR
Artesia Pilar,,,,Santa Ana,CA
Detroit Shoreway,,,,Cleveland,OH
Lincoln Park,,,,Chicago,IL
Oak Park,,,,San Diego,CA
Citizens Southwest,,,,Jackson,MS
Hampden South,,,,Denver,CO
Weber Ranch,,,,Stockton,CA
Hill,,,,New Haven,CT
Wissinoming,,,,Philadelphia,PA
Fair Haven,,,,New Haven,CT
Springdale,,,,Cherry Hill,NJ
Hartranft,,,,Philadelphia,PA
Villages of Palm Beach Lakes,,,,West Palm Beach,FL
Greater Third Ward,,,,Houston,TX
Woodlawn,,,,Chicago,IL
Zaferia,,,,Long Beach,CA
North Gateway,,,,Phoenix,AZ
Finn Hill,,,,Kirkland,WA
Russian Hill,,,,San Francisco,CA
Firestone Park,,,,Akron,OH
Kensington,,,,Philadelphia,PA
Creekside - Wagner,,,,Stockton,CA
La Grange,,,,Toledo,OH
The Groves,,,,Mesa,AZ
St.Johns,,,,Portland,OR
Lincoln Heights,,,,Spokane,WA
Mariner's Harbor,,,,New York,NY
Hillcrest,,,,San Diego,CA
Washington Square,,,,Syracuse,NY
North Clairemont,,,,San Diego,CA
Central Weymouth,,,,Weymouth,MA
West Humboldt Park,,,,Chicago,IL
Scottsdale,,,,Chicago,IL
Near West Side,,,,Chicago,IL
Irving Park,,,,Chicago,IL
North Center,,,,Chicago,IL
Chimney Lakes,,,,Jacksonville,FL
Eastwood,,,,Syracuse,NY
Upper Eastside,,,,Miami,FL
Cherry Hill Mall,,,,Cherry Hill,NJ
Shadyside,,,,Pittsburgh,PA
Hillcrest,,,,New York,NY
Alamo Farmsteads-Babcock Road,,,,San Antonio,TX
Benning Ridge,850,1100,1310,Washington,DC
Beverly Glen,,,,Los Angeles,CA
Western Branch South,,,,Chesapeake,VA
Downtown,,,,Miami,FL
Album Park,,,,El Paso,TX
East Broad,,,,Columbus,OH
Second Ward,,,,Houston,TX
Diamond Hill - Jarvis,,,,Fort Worth,TX
Lee Miles,,,,Cleveland,OH
Magnolia Center,,,,Riverside,CA
Downtown,,,,Hampton,VA
Arden Heights,,,,New York,NY
Greater Wythe,,,,Hampton,VA
Aberdeen,,,,Hampton,VA
Valley View,,,,Henderson,NV
Miramar Ranch North,,,,San Diego,CA
Somerset,,,,Bellevue,WA
The Fan,,,,Richmond,VA
Northern Woods,,,,Columbus,OH
Cherryland,,,,Hayward,CA
North Hill,,,,Akron,OH
Ashburn,,,,Chicago,IL
Rock Creek,,,,Little Rock,AR
Provincetowne,,,,Charlotte,NC
Bixby Area,,,,Long Beach,CA
Eastside,,,,Santa Ana,CA
Sunnyside,,,,Tucson,AZ
Whittier,,,,Minneapolis,MN
Riverdale,,,,New York,NY
Palolo,,,,Honolulu,HI
North King St,,,,Hampton,VA
Willow Meadows - Willowbend Area,,,,Houston,TX
Bayshore-Klatt,,,,Anchorage,AK
North Beach,,,,Jacksonville,FL
Northwest,,,,Portland,OR
Lea Hill,,,,Auburn,WA
McKinley Park,,,,Chicago,IL
City Center,,,,Glendale,CA
MacDonald Ranch,,,,Henderson,NV
College Hill,,,,Cincinnati,OH
Cove - East Side,,,,Stamford,CT
John Barrow,,,,Little Rock,AR
South Land Park,,,,Sacramento,CA
Hayes Valley,,,,San Francisco,CA
Downtown,,,,Atlanta,GA
Belmont Gardens,,,,Chicago,IL
Independence Heights,,,,Houston,TX
Lazy Brook - Timbergrove,,,,Houston,TX
Tacony,,,,Philadelphia,PA
Rockaway Park,,,,New York,NY
Beverly,,,,Chicago,IL
McCullough Hills,,,,Henderson,NV
Front Park,,,,Buffalo,NY
Emerson Hill,,,,New York,NY
"Caddo Heights, South Highlands",,,,Shreveport,LA
Downtown,,,,Honolulu,HI
Cheviot Hills,,,,Los Angeles,CA
Cully,,,,Portland,OR
West Oak Hill,,,,Austin,TX
Dobson Ranch,,,,Mesa,AZ
Downtown,,,,Long Beach,CA
Windy Hill,,,,Jacksonville,FL
Brookline,,,,Pittsburgh,PA
Belair,,,,Augusta,GA
Jamaica Estates,,,,New York,NY
East Oak Hill,,,,Austin,TX
Brainerd,,,,Chicago,IL
Rose Garden,,,,San Jose,CA
Lakeview Terrace,,,,Los Angeles,CA
Southwest,,,,Wichita,KS
Marina,,,,San Francisco,CA
Northeast Torrance,,,,Torrance,CA
Berkley,1517,1599,1894,Washington,DC
Highland Creek,,,,Charlotte,NC
Dellview Area,,,,San Antonio,TX
Brentwood-Darlington,,,,Portland,OR
Pinnacle Peak,,,,Scottsdale,AZ
North Riverdale,,,,New York,NY
Washington Virginia Vale,,,,Denver,CO
Springfield-Belmont,,,,Newark,NJ
Far Greater Northside,,,,Fort Worth,TX
Hough,,,,Cleveland,OH
City College Area,,,,Long Beach,CA
Glen Eden,,,,Hayward,CA
Springwells,,,,Detroit,MI
Glendale,,,,Salt Lake City,UT
Lawndale - Wayside,,,,Houston,TX
Mid-Cambridge,,,,Cambridge,MA
West Side,,,,Stamford,CT
Glenbrook,,,,Stamford,CT
South Lakes Dr - Soapstone Dr,,,,Reston,VA
Angel Park Lindell,,,,Las Vegas,NV
Bevo Mill,,,,Saint Louis,MO
Jacksonville Heights,,,,Jacksonville,FL
Tower Grove South,,,,Saint Louis,MO
Pine Hills,,,,Albany,NY
Calallen,,,,Corpus Christi,TX
Jamaica Hills,,,,New York,NY
River Mountain,,,,Little Rock,AR
Belmont Heights,,,,Chicago,IL
Lake Hills,,,,Bellevue,WA
San Carlos,,,,San Diego,CA
Beacon Hill,,,,Seattle,WA
Virginia Village,,,,Denver,CO
Hyde Park,,,,Cincinnati,OH
Van Ness - Civic Center,,,,San Francisco,CA
Riverside Park,,,,Buffalo,NY
Harlow,,,,Eugene,OR
Floral park,,,,New York,NY
Pilsen,,,,Chicago,IL
Yorkshire,,,,Charlotte,NC
Terrace Park,,,,Tampa,FL
Five Points,,,,Denver,CO
Gibson Springs,,,,Henderson,NV
Glen Oaks,,,,New York,NY
Silver Spring,,,,Milwaukee,WI
Riverside,,,,Cambridge,MA
Greentree,,,,Cherry Hill,NJ
Pleasant Valley,,,,Austin,TX
Oakwood,,,,New York,NY
Mar Lee,,,,Denver,CO
Gulfgate Riverview - Pine Valley,,,,Houston,TX
Taku-Campbell,,,,Anchorage,AK
Hillsborough,,,,Raleigh,NC
Silverlake,,,,Providence,RI
New Springville,,,,New York,NY
Buckeye Shaker,,,,Cleveland,OH
UC Irvine,,,,Irvine,CA
Ocean Beach,,,,San Diego,CA
South End,,,,Hartford,CT
West Los Angeles,,,,Los Angeles,CA
Downtown,,,,Las Vegas,NV
South Southwest,,,,San Antonio,TX
West Mount Airy,,,,Philadelphia,PA
Lincoln Village,,,,Milwaukee,WI
Downtown,,,,Bellevue,WA
Westside Connection,,,,Grand Rapids,MI
East Price Hill,,,,Cincinnati,OH
Belmont Heights,,,,Long Beach,CA
Harambee,,,,Milwaukee,WI
Arverne,,,,New York,NY
Chisholm Creek,,,,Wichita,KS
Bloomingdale,1350,1500,1894,Washington,DC
Carroll Gardens,,,,New York,NY
Willmore City,,,,Long Beach,CA
Cambridgeport,,,,Cambridge,MA
Windsor,,,,Denver,CO
Sun City Summerlin,,,,Las Vegas,NV
Stockton Metropolitan Airport,,,,Stockton,CA
Heritage,,,,San Antonio,TX
Atwater Village,,,,Los Angeles,CA
Park West,,,,Chicago,IL
Spenard,,,,Anchorage,AK
Bay Ho,,,,San Diego,CA
North Cambridge,,,,Cambridge,MA
Lowry Park Central,,,,Tampa,FL
Central,,,,Cleveland,OH
Fairmuont,,,,Newark,NJ
Turn of River,,,,Stamford,CT
Hidden Valley,,,,Charlotte,NC
Thalia,,,,Virginia Beach,VA
Blue Hills,,,,Hartford,CT
Tennyson-Alquire,,,,Hayward,CA
Muskego Way,,,,Milwaukee,WI
North Hill,,,,Spokane,WA
East Akron,,,,Akron,OH
University Heights,,,,San Diego,CA
Fremont,,,,Seattle,WA
Crocker Amazon,,,,San Francisco,CA
Calumet Heights,,,,Chicago,IL
Brookside,,,,Tulsa,OK
South Broad Street,,,,Newark,NJ
Glenmoor,,,,Fremont,CA
Old North Milwaukee,,,,Milwaukee,WI
Wanskuck,,,,Providence,RI
Santa Anita,,,,Santa Ana,CA
Schuylkill Southwest,,,,Philadelphia,PA
Northgate,,,,Fremont,CA
Point Place,,,,Toledo,OH
Magruder Area,,,,Hampton,VA
Como,,,,Saint Paul,MN
Southwyck,,,,Toledo,OH
Great Northwest,,,,San Antonio,TX
Seventh Avenue,,,,Newark,NJ
Midway,,,,Saint Paul,MN
Overlake,,,,Bellevue,WA
South Beach,,,,San Francisco,CA
Millenia,,,,Orlando,FL
Riverwest,,,,Milwaukee,WI
Windsor Park,,,,Charlotte,NC
Ballston-Virginia Square,,,,Arlington,VA
Harvey Park,,,,Denver,CO
Amber Hills,,,,San Bernardino,CA
Russian Jack Park,,,,Anchorage,AK
Grandview,,,,Glendale,CA
Historic Mitchell Street,,,,Milwaukee,WI
University,,,,Stockton,CA
North-East Coconut Grove,,,,Miami,FL
Del Rio,,,,Jacksonville,FL
Ravenna,,,,Seattle,WA
Northwest Akron,,,,Akron,OH
Shenandoah,,,,Miami,FL
Mercury Central,,,,Hampton,VA
Old Irving Park,,,,Chicago,IL
Manayunk,,,,Philadelphia,PA
Kyle Canyon,,,,Las Vegas,NV
Edgewater,,,,Chicago,IL
Norwood Park East,,,,Chicago,IL
Riverside,,,,Austin,TX
Boerum Hill,,,,New York,NY
Park Glen,,,,Fort Worth,TX
East Central,,,,Spokane,WA
Bagley,,,,Detroit,MI
East Forest,,,,Charlotte,NC
Reed Park,,,,Mesa,AZ
Phoebus,,,,Hampton,VA
La Sierra South,,,,Riverside,CA
Lower East Side,,,,Milwaukee,WI
Logan,,,,Spokane,WA
Corlett,,,,Cleveland,OH
North Beacon Hill,,,,Seattle,WA
Shawnee,,,,Louisville,KY
Greater Eastwood,,,,Houston,TX
Richmond,,,,Portland,OR
Southeast,,,,Eugene,OR
Mandarin Station - Losco,,,,Jacksonville,FL
Riviera,,,,Redondo Beach,CA
Allied Gardens,,,,San Diego,CA
Grand Crossing,,,,Chicago,IL
First Hill,,,,Seattle,WA
Corona Hills,,,,Corona,CA
Norteast Citizens Action,,,,Grand Rapids,MI
Lower Pacific Heights,,,,San Francisco,CA
Marston,,,,Denver,CO
Sundale,,,,Fremont,CA
Pleasant Valley,,,,Portland,OR
Memorial Park,,,,Santa Ana,CA
McKinley Park,,,,Stockton,CA
Sulphur Springs,,,,Tampa,FL
Buena Park,,,,Chicago,IL
Squirrel Hill North,,,,Pittsburgh,PA
Brentwood,1095,1288,1400,Washington,DC
Turnagain,,,,Anchorage,AK
South Raleigh,,,,Raleigh,NC
The Loop,,,,Chicago,IL
Brewerytown,,,,Philadelphia,PA
Bulls Head,,,,New York,NY
North Ridge-Rosemont,,,,Alexandria,VA
Meiers Corners,,,,New York,NY
Mt. Washington,,,,Cincinnati,OH
Cabrillo,,,,Fremont,CA
East Raleigh,,,,Raleigh,NC
Aurora Highlands,,,,Aurora,CO
Eureka Valley - Dolores Heights - Castro,,,,San Francisco,CA
Aurora Highlands,,,,Arlington,VA
Graniteville,,,,New York,NY
Rosebank,,,,New York,NY
North Hyde Park,,,,Tampa,FL
Drake,,,,Des Moines,IA
Admiral,,,,Seattle,WA
Carmel Mountain,,,,San Diego,CA
Jamestown,,,,Augusta,GA
River Mountain,,,,Henderson,NV
Battery Park,,,,New York,NY
Grandmont-Rosedale,,,,Detroit,MI
Waialae-Kahala,,,,Honolulu,HI
Midway District,,,,San Diego,CA
Portland,,,,Louisville,KY
Colina del Sol,,,,San Diego,CA
Villages of Woodland Springs,,,,Fort Worth,TX
Peabody,,,,Cambridge,MA
Clark Fulton,,,,Cleveland,OH
Edison Park,,,,Chicago,IL
Near East,,,,Dallas,TX
St. George,,,,New York,NY
Wicker Park,,,,Chicago,IL
"Sunset Arcre, Garden Valley, Morningside",,,,Shreveport,LA
Scott Park,,,,Toledo,OH
Radnor-Ft Myer Heights,,,,Arlington,VA
Whitney Ranch,,,,Henderson,NV
Roosevelt Island,,,,New York,NY
Myers Park,,,,Charlotte,NC
College Park,,,,Orlando,FL
Western Addition,,,,San Francisco,CA
Storrs Mansfield,,,,Town of Mansfield,CT
Crescenta Highlands,,,,Glendale,CA
Speer,,,,Denver,CO
Washington Park,,,,Chicago,IL
Valencia Park,,,,San Diego,CA
North Broadway,,,,Newark,NJ
Twin Lakes,,,,Las Vegas,NV
East Village,,,,Long Beach,CA
Rose Park,,,,Salt Lake City,UT
Stapleton,,,,New York,NY
Maple Leaf,,,,Seattle,WA
Georgetown,,,,New York,NY
Schiller Park,,,,Buffalo,NY
Flowing Wells,,,,Tucson,AZ
Montopolis,,,,Austin,TX
Five Points,,,,El Paso,TX
Downtown,,,,Riverside,CA
Power Ranch,,,,Gilbert,AZ
Canton,,,,Baltimore,MD
Lakeview,,,,Bakersfield,CA
Highland Square,,,,Akron,OH
Sellwood-Moreland,,,,Portland,OR
Elmhurst,,,,Providence,RI
Sheffield Neighbors,,,,Chicago,IL
Eastmoor,,,,Columbus,OH
Brookville,,,,New York,NY
Pine Point,,,,Springfield,MA
North Deering,,,,Portland,ME
Love Field Area,,,,Dallas,TX
Olde Torrance,,,,Torrance,CA
Potrero Hill,,,,San Francisco,CA
University Place,,,,Lincoln,NE
Forestville,,,,Cincinnati,OH
East Hyde Park,,,,Chicago,IL
Mill Creek,,,,Philadelphia,PA
Elmwood,,,,Providence,RI
Brightmoor,,,,Detroit,MI
Old Town,,,,Chicago,IL
Upper Baseline,,,,Little Rock,AR
Leimert Park,,,,Los Angeles,CA
Murray Hill,,,,New York,NY
Northwest Crossing,,,,San Antonio,TX
North East,,,,Hartford,CT
Normal Heights,,,,San Diego,CA
Glendale - Heather Downs,,,,Toledo,OH
South Collinwood,,,,Cleveland,OH
Crestview,,,,Los Angeles,CA
Franklin Park,,,,Detroit,MI
West 7th,,,,Saint Paul,MN
Forest Hills,,,,Cleveland,OH
Kashmere Gardens,,,,Houston,TX
La Sierra Acres,,,,Riverside,CA
North Side,,,,Fort Worth,TX
Rosemont,,,,Fort Worth,TX
Brighton,,,,Syracuse,NY
Garrison Park,,,,Austin,TX
North Oakland,,,,Pittsburgh,PA
Pico-Lowell,,,,Santa Ana,CA
Outer Mission,,,,San Francisco,CA
Heron Walk,,,,Nashville,TN
Pittman,,,,Henderson,NV
Ocean Crest,,,,San Diego,CA
Rossville,,,,New York,NY
North Panhandle,,,,San Francisco,CA
Haight-Ashbury,,,,San Francisco,CA
Cypress Park,,,,Los Angeles,CA
Six Forks,,,,Raleigh,NC
East Forest Park,,,,Springfield,MA
Fairview,,,,Hayward,CA
Eagle River Valley,,,,Anchorage,AK
Mission Terrace,,,,San Francisco,CA
Lackland Terrace,,,,San Antonio,TX
Arlington,,,,Riverside,CA
Terrace,,,,San Bernardino,CA
Mount Pleasant,,,,Providence,RI
Brookside,,,,Stockton,CA
East Colfax,,,,Denver,CO
Chestnut Hill,,,,Philadelphia,PA
Maize-Morse,,,,Columbus,OH
Union Miles Park,,,,Cleveland,OH
University Heights,,,,Newark,NJ
Seventh Ward,,,,New Orleans,LA
Asylum Hill,,,,Hartford,CT
Hegewisch,,,,Chicago,IL
College East,,,,San Diego,CA
Bridle Trails,,,,Bellevue,WA
Baymeadows,,,,Jacksonville,FL
Sabre Springs,,,,San Diego,CA
Mount Tabor,,,,Portland,OR
Forest,,,,Buffalo,NY
Foxhill,,,,Hampton,VA
Congress Park,,,,Denver,CO
Lower Roseville,,,,Newark,NJ
Rio Bravo,,,,Bakersfield,CA
Indian Hills-Stonewall Estates-Monticello,,,,Lexington,KY
Southeast Torrance,,,,Torrance,CA
Fox Creek,,,,Stockton,CA
Paradise Hills,,,,Henderson,NV
Brooklyn,,,,Baltimore,MD
Turtle Rock,,,,Irvine,CA
University Area,,,,Anchorage,AK
Carrick,,,,Pittsburgh,PA
"Jenkins, Pinecroft Subdivision",,,,Shreveport,LA
Old Fourth Ward,,,,Atlanta,GA
Mission Valley East,,,,San Diego,CA
Vineyard,,,,Glendale,CA
Kensington,,,,Buffalo,NY
Mission Bay Park,,,,San Diego,CA
Marcy Holmes,,,,Minneapolis,MN
Fernwood,,,,Chicago,IL
Brightwood,1163,1277,1747,Washington,DC
Midland Beach,,,,New York,NY
Stone Oak,,,,San Antonio,TX
Roscoe Village,,,,Chicago,IL
Jomacha-Lomita,,,,San Diego,CA
Rancho West,,,,San Bernardino,CA
Historic Midtown,,,,Wichita,KS
Kingsgate,,,,Kirkland,WA
Great Neck Village,,,,Great Neck,NY
Westside,,,,Santa Barbara,CA
Ballantyne West,,,,Charlotte,NC
Rose Park,,,,Long Beach,CA
North End,,,,Boston,MA
Fairlington-Shirlington,,,,Arlington,VA
North Queen Anne,,,,Seattle,WA
Montclaire South,,,,Charlotte,NC
Oak Creek,,,,Irvine,CA
Park Hill,,,,New York,NY
Burnside,,,,Chicago,IL
Jackson Triangle,,,,Hayward,CA
Merle Hay,,,,Des Moines,IA
Mandarin,,,,Jacksonville,FL
Clairemont Mesa West,,,,San Diego,CA
West Meadows,,,,Tampa,FL
East Falls,,,,Philadelphia,PA
Huffman-O'Malley,,,,Anchorage,AK
Pomonok,,,,New York,NY
Old Louisville,,,,Louisville,KY
Budlong Woods,,,,Chicago,IL
Reservorir,,,,Lexington,KY
Airport,,,,Riverside,CA
Tam O'Shanter,,,,Stockton,CA
Oakley,,,,Cincinnati,OH
Los Angeles Heights - Keystone,,,,San Antonio,TX
Portsmouth,,,,Portland,OR
Highlands,,,,Jacksonville,FL
Highland Hills,,,,Henderson,NV
Richmond Town,,,,New York,NY
South Arroyo,,,,Pasadena,CA
Southwest Ada County Alliance,,,,Boise,ID
Ruby Hill,,,,Denver,CO
College Hill,,,,Providence,RI
Eagle River,,,,Anchorage,AK
East Rock,,,,New Haven,CT
Eastlake Greens,,,,Chula Vista,CA
Warm Springs,,,,Fremont,CA
Sunset Hills,,,,Reston,VA
Churchill Area,,,,Eugene,OR
Pleasant Grove West,,,,Chesapeake,VA
Beverly,,,,Toledo,OH
Los Altos,,,,Long Beach,CA
Tottenville,,,,New York,NY
Ingleside,,,,San Francisco,CA
Verdugo Viejo,,,,Glendale,CA
West Colfax,,,,Denver,CO
Cudell,,,,Cleveland,OH
Mid - City,,,,Santa Ana,CA
Wiehle Ave - Reston Pky,,,,Reston,VA
West Kensington,,,,Philadelphia,PA
Near Northeast,,,,Syracuse,NY
Belmont,,,,Dayton,OH
Falcon,,,,Colorado Springs,CO
Parker Lane,,,,Austin,TX
College West,,,,San Diego,CA
Sunnyside,,,,Denver,CO
Florida Center North,,,,Orlando,FL
Overtown,,,,Miami,FL
East Cambridge,,,,Cambridge,MA
Waterloo,,,,Stockton,CA
Brightwood Park,1025,1500,1894,Washington,DC
Lake Mohawk,,,,Sparta,NJ
Neighbors Southwest,,,,Beaverton,OR
Boulevard Heights,,,,Saint Louis,MO
Petosky-Otsego,,,,Detroit,MI
Wrightwood Neighbors,,,,Chicago,IL
Yorkmount,,,,Charlotte,NC
Moanalua,,,,Honolulu,HI
Concordia,,,,Portland,OR
West Bench,,,,Boise,ID
Central City,,,,Salt Lake City,UT
Ohio City - West Side,,,,Cleveland,OH
University,,,,Denver,CO
Shearer Hills - Ridgeview,,,,San Antonio,TX
Lyell-Otis,,,,Rochester,NY
Deep Creek South,,,,Chesapeake,VA
Lindenwood Park,,,,Saint Louis,MO
Southwood Riviera,,,,Torrance,CA
North Hills,,,,El Paso,TX
Cherry Avenue,,,,Tucson,AZ
Murray Hill,,,,Jacksonville,FL
Castle,,,,San Diego,CA
Sans Pareil,,,,Jacksonville,FL
Victoria,,,,Riverside,CA
Mustang-Padre Island,,,,Corpus Christi,TX
Rose City Park,,,,Portland,OR
Woodhaven,,,,Fort Worth,TX
Behind the Rocks,,,,Hartford,CT
Barton-McFarland,,,,Detroit,MI
Near South,,,,Lincoln,NE
North Juanita,,,,Kirkland,WA
Vista,,,,Boise,ID
East Bench,,,,Salt Lake City,UT
Wade,,,,Raleigh,NC
Martin Luther King Dr. Area,,,,Shreveport,LA
Brookland,1152,1310,1824,Washington,DC
Irvington,,,,Fremont,CA
Belltown,,,,Seattle,WA
Beacon Hill,,,,Boston,MA
Charles Village,,,,Baltimore,MD
Oak Park - Northwood,,,,San Antonio,TX
South East,,,,Pasadena,CA
Mill Park,,,,Portland,OR
Park Place,,,,Houston,TX
Campus Area (University District),,,,Albany,NY
Handley,,,,Fort Worth,TX
Midtown West,,,,Stockton,CA
North River,,,,Toledo,OH
North Park Hill,,,,Denver,CO
Superstition Springs,,,,Mesa,AZ
West Meadowbrook,,,,Fort Worth,TX
Chinatown,,,,Boston,MA
Scenic Foothills,,,,Anchorage,AK
North End,,,,Boise,ID
Grimmer,,,,Fremont,CA
Buena Vista,1010,1310,1600,Washington,DC
LaSalle,,,,Buffalo,NY
Beverlywood,,,,Los Angeles,CA
Oakland,,,,Pittsburgh,PA
St. Johns,,,,Austin,TX
Athmar Park,,,,Denver,CO
Glenwood,,,,Glendale,CA
Steele Creek,,,,Charlotte,NC
Evanston,,,,Cincinnati,OH
Toluca Lake,,,,Los Angeles,CA
Van Buskirk,,,,Stockton,CA
Burnham Park,,,,Milwaukee,WI
Fair Oaks,,,,Stockton,CA
Water Catchment Area,,,,West Palm Beach,FL
Downtown,,,,Cleveland,OH
Holly,,,,Everett,WA
Douglas Park,,,,Arlington,VA
Woodstock,,,,Portland,OR
Talmadge,,,,San Diego,CA
Spanos Park East,,,,Stockton,CA
Northside,,,,Riverside,CA
"Airport, Pines Road",,,,Shreveport,LA
Indian Orchard,,,,Springfield,MA
Phinney Ridge,,,,Seattle,WA
Eastchester,,,,New York,NY
Burleith,1517,1599,1894,Washington,DC
Greenridge,,,,New York,NY
Villa Park,,,,Denver,CO
Hyde Park,,,,Jacksonville,FL
Lincoln Park,,,,San Diego,CA
Mission Grove,,,,Riverside,CA
Greenland,,,,Jacksonville,FL
South Knoxville,,,,Knoxville,TN
Edison,,,,Kalamazoo,MI
Beaverdale,,,,Des Moines,IA
South Central Improvemen,,,,Wichita,KS
Isle of Normandy,,,,Miami Beach,FL
Heritage,,,,Fort Worth,TX
Greenhaven,,,,Sacramento,CA
Wilkes,,,,Portland,OR
Anderson,,,,Stockton,CA
Bear Valley,,,,Denver,CO
Lincoln Village West,,,,Stockton,CA
Southside Estates,,,,Jacksonville,FL
Russell,,,,Louisville,KY
West Highland,,,,Denver,CO
Redwood Heights,,,,Oakland,CA
Powderhorn Park,,,,Minneapolis,MN
Emerson-Garfield,,,,Spokane,WA
Little Italy,,,,New York,NY
Southland-Deerfield-Open Gates,,,,Lexington,KY
Clifton,,,,Cincinnati,OH
Wrightwood,,,,Chicago,IL
Temple Crest,,,,Tampa,FL
Madisonville,,,,Cincinnati,OH
Fairway Park,,,,Hayward,CA
Beechwood,,,,Rochester,NY
North Arroyo,,,,Pasadena,CA
Oak Forest,,,,Little Rock,AR
Windsor Spring,,,,Augusta,GA
Golden Hill,,,,San Diego,CA
Mount Washington,,,,Pittsburgh,PA
Barclay-Kingston,,,,Cherry Hill,NJ
Harford-Echodale - Perring Parkway,,,,Baltimore,MD
Midtown,,,,Houston,TX
Trumbull Village,,,,Albuquerque,NM
Westwood,,,,Kalamazoo,MI
Erlton-Ellisburg,,,,Cherry Hill,NJ
Capitol Hill,1510,1599,2000,Washington,DC
Mesa Hills,,,,El Paso,TX
Georgian Acres,,,,Austin,TX
West Meade,,,,Nashville,TN
Central Davis,,,,Davis,CA
Mt. Airy,,,,Cincinnati,OH
Village East,,,,Aurora,CO
Benton Park,,,,Bakersfield,CA
South Linden,,,,Columbus,OH
Highland,,,,Denver,CO
Woodland Hills,,,,Cleveland,OH
Coulwood West,,,,Charlotte,NC
Falls of Neuse,,,,Raleigh,NC
West Cambridge,,,,Cambridge,MA
West A,,,,Lincoln,NE
Sierra del Oro,,,,Corona,CA
Rossmoyne,,,,Glendale,CA
Rosemoor,,,,Chicago,IL
South Park Hill,,,,Denver,CO
Green Lake,,,,Seattle,WA
Downtown East,,,,Las Vegas,NV
Willard Hay,,,,Minneapolis,MN
Mountain View,,,,Anchorage,AK
South Hills,,,,Fort Worth,TX
Pine Hills,,,,Atlanta,GA
Riverside,,,,Jacksonville,FL
Liberty Wells,,,,Salt Lake City,UT
South Beaverton,,,,Beaverton,OR
Egger Highlands,,,,San Diego,CA
Belmont Shore,,,,Long Beach,CA
Layton Park,,,,Milwaukee,WI
Skyline,,,,San Diego,CA
Highland Park,,,,Des Moines,IA
Yerdemont,,,,San Bernardino,CA
Northeast Macfarlane,,,,Tampa,FL
Buckman,,,,Portland,OR
Englewood,,,,Jacksonville,FL
Haller Lake,,,,Seattle,WA
Silver Terrace,,,,San Francisco,CA
Northwest Los Angeles Heights,,,,San Antonio,TX
Woodbury,,,,Irvine,CA
Fort Logan,,,,Denver,CO
Riverbend,,,,Columbus,OH
Bloomfield,,,,Pittsburgh,PA
Menomonee River Hills,,,,Milwaukee,WI
